34588 [main] DEBUG devpinoyLogger  - Reading data from Excel
34747 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "Content-Length: 88[\r][\n]"
34747 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "Date: Sat, 13 Oct 2018 10:15:47 GMT[\r][\n]"
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "[\r][\n]"
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "{"value":{"element-6066-11e4-a52e-4f735466cecf":"25d5c9f1-c077-4d9c-b60c-78478fe852ee"}}"
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << HTTP/1.1 200 OK
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Content-Type: application/json; charset=utf-8
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Cache-Control: no-cache
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Content-Length: 88
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.headers  - http-outgoing-0 << Date: Sat, 13 Oct 2018 10:15:47 GMT
34748 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Connection can be kept alive indefinitely
34749 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection [id: 0][route: {}->http://localhost:10800] can be kept alive indefinitely
34749 [Forwarding findElement on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection released: [id: 0][route: {}->http://localhost:10800][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
34764 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.client.protocol.RequestAddCookies  - CookieSpec selected: default
34764 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.client.protocol.RequestAuthCache  - Auth cache not set in the context
34764 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection request: [route: {}->http://localhost:10800][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
34764 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.PoolingHttpClientConnectionManager  - Connection leased: [id: 0][route: {}->http://localhost:10800][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
34764 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Stale connection check
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.wire  - http-outgoing-0 << "[read] I/O error: Read timed out"
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.conn.DefaultManagedHttpClientConnection  - http-outgoing-0: set socket timeout to 10800000
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Executing request GET /session/074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45/element/25d5c9f1-c077-4d9c-b60c-78478fe852ee/enabled HTTP/1.1
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Target auth state: UNCHALLENGED
34766 [Forwarding isElementEnabled on session 074fe5e2-d2bd-4f5b-a40b-d4ea34ffba45 to remote] DEBUG org.apache.http.impl.execchain.MainClientExec  - Proxy auth state: UNCHALLENGED
